call_oi,call_change_oi,call_volume,call_iv,call_ltp,call_change,call_bid_qty,call_bid,call_ask,call_ask_qty,strike,put_bid_qty,put_bid,put_ask,put_ask_qty,put_change,put_ltp,put_iv,put_volume,put_change_oi,put_oi,expiry,expiry_valid,is_holiday,call_data_available,put_data_available,data_quality,spot_price,valuation_date,days_to_expiry,T
6033.0,-515.0,1622.0,,1110.15,-127.35,65,1115.0,1118.85,65,23000.0,1235,3.45,4.35,2600,0.15,3.15,17.4,345854.0,19446.0,155396.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
6.0,-1.0,4.0,23.82,1088.05,-346.95,780,1022.75,1093.75,845,23050.0,1885,3.2,4.4,130,0.2,3.2,16.76,44575.0,3372.0,5538.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
79.0,-4.0,25.0,16.33,1019.8,-122.05,130,1006.25,1021.9,390,23100.0,650,2.95,4.45,130,0.2,3.4,16.21,149246.0,8099.0,17558.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
12.0,6.0,13.0,,965.9,-393.1,65,929.35,1029.55,1105,23150.0,975,3.05,4.8,845,-0.15,3.2,15.38,49666.0,2410.0,4946.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
320.0,-72.0,235.0,,910.65,-104.55,195,909.6,922.9,65,23200.0,130,3.6,4.5,1755,-0.05,3.45,14.85,183622.0,-2120.0,34152.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
14.0,,2.0,,863.9,-256.1,65,829.5,931.0,780,23250.0,390,3.5,4.5,1235,0.15,3.9,14.43,74437.0,3199.0,8481.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
419.0,8.0,480.0,,815.0,-103.65,65,813.6,824.3,195,23300.0,520,4.05,4.45,520,0.75,4.75,14.16,212581.0,9853.0,30024.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
54.0,31.0,114.0,14.98,775.3,-135.9,65,743.15,830.9,1690,23350.0,390,4.6,4.85,1235,0.2,4.6,13.35,101866.0,8590.0,16138.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
464.0,20.0,345.0,14.09,725.1,-109.3,65,696.65,726.7,65,23400.0,520,4.9,5.2,1170,0.5,5.3,12.93,219382.0,11255.0,38846.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
37.0,7.0,37.0,13.38,675.5,-104.45,65,646.0,714.25,780,23450.0,585,5.4,5.8,1170,0.1,5.55,12.28,136458.0,2569.0,15502.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
