CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,08,502","19,948","5,20,672",11.28,7.30,-5.05,585,7.05,7.40,260,"24,700.00",65,594.00,594.90,130,107.45,596.00,13.21,"9,824",-769,"14,950",
,"32,555","7,082","2,71,682",11.68,6.25,-3.35,325,6.05,6.30,455,"24,750.00",65,641.60,645.80,65,105.40,646.00,14.07,"1,612",96,"1,744",
,"1,15,522","21,876","5,15,108",12.04,5.30,-2.35,780,5.05,5.30,"5,655","24,800.00",65,692.30,692.80,325,114.35,696.30,14.98,"3,886",-855,"8,766",
,"25,636","8,703","2,80,358",12.42,4.55,-1.85,"1,885",4.55,4.85,"1,170","24,850.00",65,737.75,746.30,65,106.90,739.60,14.00,561,56,847,
,"89,917","27,400","4,93,563",12.96,4.25,-1.10,"4,290",4.05,4.30,780,"24,900.00",130,784.80,793.40,65,115.35,796.45,16.69,"1,132",-224,"2,985",
,"26,136","6,764","2,62,603",13.24,3.55,-1.30,520,3.50,3.70,65,"24,950.00",65,836.35,843.90,65,117.05,838.10,15.01,185,34,359,
,"2,24,540","11,042","7,91,116",13.74,3.30,-1.10,130,3.30,3.40,195,"25,000.00",65,887.25,892.10,65,118.85,894.20,17.73,"7,663","-1,606","30,670",
,"25,089","10,364","2,33,409",14.21,3.05,-0.70,650,3.00,3.20,"2,340","25,050.00",65,934.80,944.30,65,96.80,933.55,14.17,99,15,138,
,"62,096","17,292","3,94,649",14.47,2.55,-0.90,"5,655",2.55,2.75,520,"25,100.00",65,982.00,994.40,260,123.95,995.85,19.77,230,4,"1,485",
,"11,164","2,907","81,282",15.00,2.45,-0.65,455,2.45,2.75,"1,430","25,150.00",780,984.35,"1,056.35",65,102.10,"1,010.30",-,90,10,36,
,"93,347","34,750","3,60,165",15.42,2.25,-0.55,585,2.20,2.50,"18,590","25,200.00",715,"1,090.00","1,093.90",65,114.45,"1,090.00",19.45,694,-282,"1,797",
,"32,959","24,988","1,36,674",15.97,2.20,-0.30,975,2.15,2.25,"1,690","25,250.00",780,"1,084.85","1,155.95",65,317.50,"1,142.95",21.23,6,-3,24,
,"77,086","15,396","3,44,128",16.14,1.80,-0.50,"6,630",1.80,2.00,325,"25,300.00",65,"1,182.95","1,191.60",260,107.45,"1,192.00",21.67,208,-49,"1,252",
,"9,889","4,599","56,410",16.59,1.70,-0.45,390,1.70,1.85,65,"25,350.00",780,"1,170.35","1,255.50",65,137.30,"1,212.25",-,9,8,24,
,"66,611","25,491","2,10,285",16.90,1.50,-0.40,260,1.55,1.65,390,"25,400.00",65,"1,281.65","1,293.65",65,95.90,"1,280.00",11.46,24,-1,597,
,"4,642",583,"16,925",17.60,1.60,-0.25,65,1.50,1.60,325,"25,450.00",780,"1,282.05","1,355.35",65,-,"1,203.70",-,-,-,17,
,"1,80,366","35,647","4,43,967",18.02,1.50,-0.30,520,1.50,1.55,65,"25,500.00",130,"1,385.40","1,393.35",65,119.00,"1,389.60",23.67,"1,283",-718,"18,998",
,"11,558","6,209","36,979",18.09,1.20,-0.40,"3,055",1.15,1.70,650,"25,550.00",390,"1,381.35","1,454.40",65,-,"1,080.00",18.73,-,-,84,
,"66,786","25,775","2,11,386",18.63,1.20,-0.20,325,1.10,1.20,585,"25,600.00",780,"1,431.05","1,497.15",65,149.55,"1,509.55",31.25,9,-,253,
